,,job_id,user,num_gpu,num_cpu,num_pod,duration,job_name,submit_time,group,gpu_type,wait_time,user_dur,group_dur,group_gpu_dur,read_count,write_count,num_inst,size,on_time,wasted,jct,resource,node,exec_time,bw,final_node_allocation,final_gpu_allocation,deadline
25,27,27,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,106,97d91ddd2cc12db098a29658,26,538323be07e220f5e409a0715e68d0b2,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,282,0,0,26,"[0.0, 2.6666666666666665]",,26,0.0,"[5, 4, 4, 5]","['RASPBERRY', 'SERVER', 'SERVER', 'RASPBERRY']",470.1965894202235
26,28,28,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,32,97d91ddd2cc12db098a29658,27,1aa8d165642fd10e5b062d60fb8c2838,SERVER,2,1229.0,1229.0,1229.0,0.0,0.0,1,85,0,0,27,"[0.0, 2.6666666666666665]",,27,0.0,[7],['SERVER'],389.3368914443303
27,29,29,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,91,97d91ddd2cc12db098a29658,28,c29e6ee808fe2348c005fe95237a551a,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,242,0,0,28,"[0.0, 2.6666666666666665]",,28,0.0,"[5, 7, 7, 7, 7]","['RASPBERRY', 'SERVER', 'SERVER', 'SERVER', 'SERVER']",454.92128821218876
28,30,30,7203aa95a9af,0.3333333333333333,2.0,1.0,25,4fa2a95d7c794171b866dfa5,29,2bdfa3b14fe10b890f11920318d79788,SERVER,112,2659.0,56.5,36.0,9512.584928631968,4477.4373386714215,1,58,0,0,29,"[0.3333333333333333, 2.0]",,29,4477.4373386714215,"[14, 4, 14, 4, 5]","['RASPBERRY', 'SERVER', 'RASPBERRY', 'SERVER', 'RASPBERRY']",383.2925474227874
29,31,31,5b1345f03aa1,0.3333333333333333,2.0,1.0,29,4338499d3c24cc35be17b44c,30,dfc3233bdec4deb3114135b47f41d468,SERVER,13,436.0,31.0,32.5,3987.3481058112393,2143.128573005187,1,67,0,0,30,"[0.3333333333333333, 2.0]",,30,2143.128573005187,[4],['SERVER'],389.69198619298413
30,32,32,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,19,97d91ddd2cc12db098a29658,31,455a924a396f3bb580eebbb7bb95010a,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,50,0,0,31,"[0.0, 2.6666666666666665]",,31,0.0,[7],['SERVER'],420.52604099163176
31,33,33,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,58,97d91ddd2cc12db098a29658,32,f8c6edb208cfa1bfb3b1fb19c4fe1ae1,SERVER,4,1229.0,1229.0,1229.0,0.0,0.0,1,154,0,0,32,"[0.0, 2.6666666666666665]",,32,0.0,"[4, 2, 7, 7, 7]","['SERVER', 'RASPBERRY', 'SERVER', 'SERVER', 'SERVER']",463.5290525322153
32,34,34,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,41,97d91ddd2cc12db098a29658,33,fc6e1e8a0af8dbb5aa338a39d2435f9b,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,109,0,0,33,"[0.0, 2.6666666666666665]",,33,0.0,"[7, 7, 7, 4, 7]","['SERVER', 'SERVER', 'SERVER', 'SERVER', 'SERVER']",454.5878578780782
33,35,35,3d5e1fb89ab2,0.0,2.6666666666666665,1.0,120,97d91ddd2cc12db098a29658,34,b2d2ea8b538076b6ef32dfeaea5c44fb,SERVER,3,1229.0,1229.0,1229.0,0.0,0.0,1,320,0,0,34,"[0.0, 2.6666666666666665]",,34,0.0,"[4, 7, 7, 7, 7]","['SERVER', 'SERVER', 'SERVER', 'SERVER', 'SERVER']",538.8714413740388
34,36,36,dca3db6263d5,0.3333333333333333,2.0,1.0,39,4058eafeb4222d014c083112,35,58ae12905a1bc6d626736d94e3a40e39,SERVER,114,634.0,634.0,606.5,1952.4933562992123,886.1181102362204,1,91,0,0,35,"[0.3333333333333333, 2.0]",,35,886.1181102362204,"[4, 7, 4]","['SERVER', 'SERVER', 'SERVER']",458.1499422597532
35,37,37,5b1345f03aa1,0.3333333333333333,2.0,1.0,91,4338499d3c24cc35be17b44c,36,7c3f5b4e3c48d49275f13d0b20d094bc,SERVER,9,436.0,26.0,26.0,3987.3481058112393,2143.128573005187,1,212,0,0,36,"[0.3333333333333333, 2.0]",,36,2143.128573005187,"[7, 14, 7, 4, 7]","['SERVER', 'RASPBERRY', 'SERVER', 'SERVER', 'SERVER']",535.1357775031158
36,38,38,45bd92802aa9,0.3333333333333333,2.0,1.0,43,21858ac282f1092bb15f8831,37,776e5bcd1c31825c6a535dc24e2becd7,SERVER,3,287.0,336.0,336.0,2467.0040935672514,3956.5,1,100,0,0,37,"[0.3333333333333333, 2.0]",,37,3956.5,"[8, 8, 8, 8]","['RASPBERRY', 'RASPBERRY', 'RASPBERRY', 'RASPBERRY']",497.5022075121527
